"554297","0099","792","YIVKK   ","MASTER  ","C"
"554301","0135","792","YIVKK   ","MASTER  ","C"
"554483","0134","792","YIVKK   ","MASTER  ","C"
"554549","0108","792","YIVKK   ","MASTER  ","C"
"554600","0108","792","YIVKK   ","MASTER  ","C"
"554796","0062","792","GBKK    ","MASTER  ","C"
"554960","0062","792","BONUS   ","MASTER  ","C"
"556030","0123","792","YIVKK   ","MASTER  ","C"
"556031","0123","792","YIVKK   ","MASTER  ","C"
"556033","0123","792","YIVKK   ","MASTER  ","C"
"556034","0123","792","YIVKK   ","MASTER  ","C"
"556665","0123","792","YIVKK   ","MASTER  ","C"
"557023","0062","792","SANAL   ","MASTER  ","C"
"557113","0046","792","YIVKK   ","MASTER  ","C"
"557829","0046","792","YIVKK   ","MASTER  ","C"
"558514","0134","792","YIVKK   ","MASTER  ","C"
"558593","0135","792","YIVKK   ","MASTER  ","C"
"558699","0062","792","ORTAK   ","MASTER  ","C"
"588843","0056","792","YIVDK   ","MASTER  ","D"
"589004","0046","792","YIVDK   ","MASTER  ","D"
"589072","0012","792","YIVDK   ","MASTER  ","D"
"589283","0064","792","YIVDK   ","MASTER  ","D"
"589311","0015","792","YIVDK   ","MASTER  ","D"
"589318","0062","792","KONTOR  ","MASTER  ","D"
"589416","0109","792","YIVDK   ","MASTER  ","D"
"589713","0059","792","YIVDK   ","MASTER  ","D"
"601050","0111","792","YIVDK   ","MASTER  ","D"
"601912","0134","792","YIVDK   ","MASTER  ","D"
"602970","0062","792","HEDIYE  ","GARANTI ","C"
"603005","0108","792","YIVDK   ","MASTER  ","D"
"603072","0135","792","YIVDK   ","MASTER  ","D"
"603125","0064","792","YIVDK   ","MASTER  ","D"
"603322","0099","792","YIVDK   ","MASTER  ","D"
"603343","0103","792","YIVDK   ","MASTER  ","D"
"603480","0062","792","YKM     ","GARANTI ",""
"603492","0062","792","GECICI  ","GARANTI ",""
"603614","0062","792","PG      ","MASTER  ",""
"603797","0067","792","YIVDK   ","MASTER  ","D"
"605036","0062","792","MAGAZA  ","GARANTI ","M"
"627161","0206","792","YIVDK   ","MASTER  ","D"
"627462","0208","792","YIVDK   ","MASTER  ","D"
"627768","0124","792","YIVDK   ","MASTER  ","D"
"639001","0056","792","YIVDK   ","MASTER  ","D"
"639004","0067","792","YIVDK   ","MASTER  ","D"
"642010","0062","792","MAXI    ","GARANTI ",""
"642011","0062","792","LCW     ","GARANTI ",""
"676124","0010","792","YIVDK   ","MASTER  ","D"
"676166","0093","792","YIVDK   ","MASTER  ","D"
"676255","0062","792","KONTOR  ","MASTER  ","D"
"676258","0012","792","YIVDK   ","MASTER  ","D"
"676283","0062","792","KONTOR  ","MASTER  ","D"
"676401","0123","792","YIVDK   ","MASTER  ","D"
"676402","0099","792","YIVDK   ","MASTER  ","D"
"676406","0071","792","YIVDK   ","MASTER  ","D"
"676429","0108","792","YIVDK   ","MASTER  ","D"
"676460","0135","792","YIVDK   ","MASTER  ","D"
"676578","0032","792","YIVDK   ","MASTER  ","D"
"676827","0062","792","GBDK    ","MASTER  ","D"
"676832","0059","792","YIVDK   ","MASTER  ","D"
"677131","0208","792","YIVDK   ","MASTER  ","D"
"677193","0123","792","YIVDK   ","MASTER  ","D"
"677397","0203","792","YIVDK   ","MASTER  ","D"
"724365","0062","792","MINI    ","VISA    ",""
